title;genre;year;duration;director;language
Catch Me If You Can;comedy;2002;140;S. Spielberg;english
Back To The Future;scifi;1985;116;R. Zemeckis;english
Bagdad Cafe;drama;1987;95;P. Adlon;english
Full Metal Jacket;war;1987;116;S. Kubrick;english
Pulp Fiction;crime;1994;154;Q. Tarantino;english
Inception;scifi;2010;108;C. Nolan;english
Gladiator;adventure;2000;115;R. Scott;english
No Country for Old Men;drama;2007;82;J&E Cohen;english
Batman Begins;action;2005;100;C. Nolan;english
Heat;crime;1995;170;M. Mann;english
Tombstone;western;1993;130;G. Cosmatos;english
American Pie;comedy;1999;95;P&C Weitz;english
Le Pacte des Loups;adventure;2001;150;C. Gans;french
Everything Everywhere All at Once;adventure,comedy,scifi,drama;2022;139;D. Kwan & D. Scheinert;english